状态,终端MAC地址,终端IP地址,关联SSID,关联频段,关联信道,关联微AP名称,关联AP名称,AC名称,位置,AC的IP地址,关联AP的IP地址,账号,终端在线时长(s)
离线,92-8B-29-54-F9-22,,NCU-2.4G,2.4G,,,前湖北-文法楼-2f-b-08,NCDX-AC-H3C,无线/前湖北/文法楼,10.1.0.16,10.63.0.99,,0
离线,B2-D5-6C-26-30-BF,,NCUWLAN,5G,,,青山湖北-附属中学-高中4F420,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.36,,0
离线,76-53-F7-E1-AD-05,,NCUWLAN,2.4G,,,前湖北-慧源楼-225A-G4,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.161,,0
离线,F8-E4-E3-91-D4-D5,10.202.191.43,NCUWLAN,5G,52,,前湖北-智华科技楼-ap720-l-B-N-6F-4,RUIJIE-AC,无线/前湖北/智华科技楼,10.1.0.15,10.80.0.98,,0
离线,62-47-47-4D-DD-27,10.202.21.26,NCUWLAN,5G,149,QHXQ-LKL-SYS-map752-1f-03,QHXQ-LKL-SYS-AM5528-01,RUIJIE-AC,,10.1.0.15,10.54.149.35,,0
离线,78-46-5C-39-06-77,,NCUWLAN,5G,,,前湖北-慧源楼-3FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.153,"426832848060099476,2,1758077867",0
离线,82-03-48-01-54-A6,10.202.179.142,NCUWLAN-test,2.4G,,,前湖北-环材楼-C630B-8口光,NCU_HW_AC1,无线/前湖北/环材楼,10.1.0.18,10.151.128.93,,0
离线,A2-AF-02-A4-47-9D,,,,,,,NCDX-AC-H3C,,10.1.0.16,,,0
离线,E2-7F-CF-DA-F6-DC,,,2.4G,,,前湖北-艺术楼-B322,ncu-wlan-master,无线/前湖北/艺术楼,10.1.0.13,10.63.0.23,,0
离线,8E-BB-9E-65-12-16,,NCUWLAN,5G,,,前湖北-慧源楼-123-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.32,,0
离线,C2-B5-32-79-89-20,10.202.188.204,NCUWLAN,2.4G,6,,前湖北-昌海楼-b-2f-02,NCDX-AC-H3C,无线/前湖北/昌海楼,10.1.0.16,10.66.0.20,"QH711,1,1752369959",0
离线,B2-AE-A6-9B-C2-78,,NCUWLAN,2.4G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,B6-4D-9B-4F-75-92,10.202.127.3,NCUWLAN,5G,44,,前湖北-文法楼-3F-A315,RUIJIE-AC,无线/前湖北/文法楼,10.1.0.15,10.63.0.142,,0
离线,80-45-DD-87-83-81,10.210.3.108,NCUWLAN,5G,1,,青山湖北-生物质转化中心-2f-04,NCDX-AC-H3C,无线/青山湖北/生物质转化中心,10.1.0.16,10.76.5.223,,0
离线,36-8B-6D-68-43-BF,,,2.4G,,,前湖南-教学楼1-302,ncu-wlan-master,无线/前湖南/第一教学大楼,10.1.0.13,10.70.0.38,,0
离线,62-A2-7B-5F-F7-3A,,NCUWLAN,5G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
在线,DC-71-96-C4-98-43,10.202.66.117,NCUWLAN,5G,157,,前湖北-智华科技楼-AM5528-B-B-2F-01,RUIJIE-AC,无线/前湖北/智华科技楼,10.1.0.15,10.80.0.210,"613015379714101848,1,1758076666",2218
离线,12-35-1E-19-E9-72,,NCUWLAN,5G,,,前湖北-图书馆-A0903-C1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.187,"309494063427631335,1,1758029969",0
离线,92-60-A1-03-80-6F,10.208.2.118,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,AA-09-3D-A4-34-F3,10.208.200.5,NCUWLAN,5G,52,,东湖南-基础教学楼-3001,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.57,,0
离线,82-6B-CE-80-61-C5,10.202.172.26,NCUWLAN,5G,153,,28d0.f59a.ecff,RUIJIE-AC,,10.1.0.15,10.161.64.32,,0
离线,A2-9A-EB-87-D7-6D,10.208.222.37,NCUWLAN,2.4G,11,,东湖南-基础楼-4F-01,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.35,,0
离线,72-1F-7C-DF-CF-09,10.248.50.76,NCUWLAN,2.4G,,,前湖南-医创中心-2F-249-1,NCU_HW_AC1,无线/前湖南/医创中心,10.1.0.18,10.157.0.113,,0
离线,CA-59-64-55-28-94,,NCU-2.4G,5G,,,东湖南-基础教学楼-4F-4001,ncu-wlan-master,无线/东湖南/基础教学楼,10.1.0.13,10.63.0.70,,0
离线,9E-97-23-6D-0B-BE,,NCUWLAN,5G,,,前湖北-慧源楼-514-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.27,"398124500188279339,1,1757751557",0
离线,4E-1D-17-C6-FF-02,,,2.4G,,,前湖北-游泳馆-B104,ncu-wlan-master,无线/前湖北/游泳馆,10.1.0.13,10.62.0.17,,0
在线,22-A7-B8-3A-5C-14,10.202.22.141,NCUWLAN,2.4G,36,,前湖北-慧源楼-121-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.29,,156897
离线,0E-62-B9-FB-08-E6,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"076629780253125050,1,1748242262",0
离线,D2-D7-B7-60-A0-2A,10.208.255.232,NCUWLAN,2.4G,11,,东湖南-基础楼-4F-01,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.35,,0
离线,34-C9-3D-10-7A-20,,NCUWLAN,5G,,,前湖北-图书馆-A0202-C2,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.177,"402329336424852961,1,1758006186",0
离线,B2-AE-CA-38-69-AA,10.208.140.198,NCUWLAN,2.4G,11,,东湖南-基础教学楼-345,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.112,,0
离线,C2-A8-61-74-02-01,,NCUWLAN,5G,,,东湖南-基础教学楼-5f-11,NCDX-AC-H3C,无线/东湖南/基础教学楼,10.1.0.16,10.81.0.168,,0
离线,66-FA-DB-3B-47-44,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
在线,52-A1-7A-DF-B3-22,10.102.249.85,NCU-5G,5G,36,,前湖南-博士楼-6f-604,NCDX-AC-H3C,无线/前湖南/博士楼,10.1.0.16,10.137.4.50,"635722842288737891,2,1758077747",1097
离线,82-B9-5E-C5-37-CF,10.208.217.108,NCUWLAN,2.4G,1,,东湖南-后勤楼-1F-101,RUIJIE-AC,无线/东湖南/办公楼,10.1.0.15,10.74.0.23,,0
离线,A2-75-0D-7B-54-77,10.202.222.50,NCUWLAN,2.4G,6,,前湖南-8栋-一站式学生服务中心-P-1,RUIJIE-AC,无线/前湖北/一站式学生服务中心,10.1.0.15,10.183.75.45,,0
离线,82-A4-30-B1-BD-D1,10.208.208.241,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,92-E8-C5-D3-19-33,10.202.1.221,NCUWLAN,5G,149,,前湖南-食堂07,RUIJIE-AC,无线/前湖南/食堂,10.1.0.15,10.191.0.217,,0
离线,B0-22-7A-56-74-B1,10.202.172.200,NCUWLAN,2.4G,,,前湖北-机电楼-D110-1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.130.15,,0
离线,22-55-61-7B-33-EA,,NCUWLAN,5G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
