终端MAC地址,终端类型,时间,终端行为,轨迹详细信息,终端IP地址,关联SSID,关联频段,关联信道,信号强度,VLAN,日志原文
00-00-00-EA-E4-72,无线,Fri Nov 07 18:48:30 CST 2025,上线 (关联成功),终端在AP 前湖南-第二实验楼-225 (无线/前湖南/第二实验大楼) 关联成功,,NCUWLAN,2.4G,,,,【syslog】<182>Nov  7 18:48:30.483 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0000-00ea-e472 went online from BSS 10b6-5e92-2398 vlan 982 with SSID NCUWLAN on AP QHN-D2SYL-225 Radio ID 2. State changed to Run.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:49:20 CST 2025,上线 (关联成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 关联成功,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 19:49:20.918 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-227c-b4fb went online from BSS 4073-4d56-63d0 vlan 992 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 1. State changed to Run.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:48:48 CST 2025,下线,终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 下线,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 19:48:48.628 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_OFFLINE: Client 0008-227c-b4fb went offline from BSS 4073-4d56-63d0 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 1. State changed to Unauth. Reason:AP triggered (reconnection upon weak client signal triggered client logoff).
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:46:25 CST 2025,上线 (关联成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 关联成功,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 19:46:25.315 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-227c-b4fb went online from BSS 4073-4d56-63e0 vlan 992 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 2. State changed to Run.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:46:15 CST 2025,下线,终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 下线,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 19:46:15.631 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_OFFLINE: Client 0008-227c-b4fb went offline from BSS 4073-4d56-63d0 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 1. State changed to Unauth. Reason:AP triggered (reconnection upon weak client signal triggered client logoff).
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:40:21 CST 2025,上线 (获取IP地址成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 获取IP地址成功,10.202.207.160,NCUWLAN,2.4G,11,,,"【syslog】<182>Nov  7 19:40:21.112 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_SNOOPING: Detected client IP change: Client MAC: 0008-227c-b4fb, IP: 10.202.207.160, -NA-, -NA-, -NA-, Username: -NA-, AP name: QHB-TSG-A1901-C1, Radio ID: 3, Channel number: 11, SSID: NCUWLAN, BSSID: 4073-4d56-63f0."
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:40:21 CST 2025,上线 (关联成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 关联成功,,NCUWLAN,2.4G,,,,【syslog】<182>Nov  7 19:40:21.107 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-227c-b4fb went online from BSS 4073-4d56-63f0 vlan 992 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 3. State changed to Run.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:39:24 CST 2025,下线,终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 下线,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 19:39:24.848 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_OFFLINE: Client 0008-227c-b4fb went offline from BSS 4073-4d56-63d0 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 1. State changed to Unauth. Reason:AP triggered (reconnection upon weak client signal triggered client logoff).
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:22:39 CST 2025,上线 (获取IP地址成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 获取IP地址成功,10.202.207.160,NCUWLAN,5G,36,,,"【syslog】<182>Nov  7 19:22:39.974 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_SNOOPING: Detected client IP change: Client MAC: 0008-227c-b4fb, IP: 10.202.207.160, -NA-, -NA-, -NA-, Username: -NA-, AP name: QHB-TSG-A1901-C1, Radio ID: 1, Channel number: 36, SSID: NCUWLAN, BSSID: 4073-4d56-63d0."
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:22:33 CST 2025,漫游,终端从AP 前湖北-图书馆-A1901-C1 ( 无线/前湖北/图书馆) 漫游到AP 前湖北-图书馆-A0202-C2 (无线/前湖北/图书馆),,,5G,,,,【syslog】<182>Nov  7 19:22:33.519 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_ROAM_SUCCESS: Client 0008-227c-b4fb roamed from BSSID 4073-4d56-63d0 on AP QHB-TSG-A1901-C1 Radio ID 1 of AC IP 127.0.0.1 to BSSID 4073-4d56-6910 on AP QHB-TSG-A0202-C2 Radio ID 1 of AC IP 127.0.0.1 successfully.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:22:21 CST 2025,下线,终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 下线,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 19:22:21.803 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_OFFLINE: Client 0008-227c-b4fb went offline from BSS 4073-4d56-63d0 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 1. State changed to Unauth. Reason:AP triggered (reconnection upon weak client signal triggered client logoff).
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:19:45 CST 2025,上线 (关联成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 关联成功,,NCUWLAN,2.4G,,,,【syslog】<182>Nov  7 19:19:45.937 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-227c-b4fb went online from BSS 4073-4d56-63f0 vlan 992 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 3. State changed to Run.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:18:55 CST 2025,上线 (关联成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 关联成功,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 19:18:55.614 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-227c-b4fb went online from BSS 4073-4d56-63d0 vlan 992 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 1. State changed to Run.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:18:51 CST 2025,下线,终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 下线,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 19:18:51.802 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_OFFLINE: Client 0008-227c-b4fb went offline from BSS 4073-4d56-63d0 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 1. State changed to Unauth. Reason:AP triggered (reconnection upon weak client signal triggered client logoff).
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:16:51 CST 2025,漫游,终端从AP 前湖北-图书馆-A1901-C1 ( 无线/前湖北/图书馆) 漫游到AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆),,,2.4G,,,,【syslog】<182>Nov  7 19:16:51.844 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_ROAM_SUCCESS: Client 0008-227c-b4fb roamed from BSSID 4073-4d56-63d0 on AP QHB-TSG-A1901-C1 Radio ID 1 of AC IP 127.0.0.1 to BSSID 4073-4d56-63f0 on AP QHB-TSG-A1901-C1 Radio ID 3 of AC IP 127.0.0.1 successfully.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:13:30 CST 2025,上线 (获取IP地址成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 获取IP地址成功,10.202.207.160,NCUWLAN,5G,36,,,"【syslog】<182>Nov  7 19:13:30.398 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_SNOOPING: Detected client IP change: Client MAC: 0008-227c-b4fb, IP: 10.202.207.160, -NA-, -NA-, -NA-, Username: -NA-, AP name: QHB-TSG-A1901-C1, Radio ID: 1, Channel number: 36, SSID: NCUWLAN, BSSID: 4073-4d56-63d0."
