终端MAC地址,终端类型,时间,终端行为,轨迹详细信息,终端IP地址,关联SSID,关联频段,关联信道,信号强度,VLAN,日志原文
AE-65-16-23-0A-41,无线,Fri Nov 07 17:58:18 CST 2025,下线,终端在AP 前湖北-图书馆-A1301-C2 (无线/前湖北/图书馆) 下线,,NCUWLAN,5G,,,,【syslog】<182>Nov  7 17:58:18.961 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_OFFLINE: Client ae65-1623-0a41 went offline from BSS 4073-4d56-8180 with SSID NCUWLAN on AP QHB-TSG-A1301-C2 Radio ID 2. State changed to Unauth. Reason:AP triggered (reconnection upon weak client signal triggered client logoff).
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:58:53 CST 2025,下线,终端在AP 前湖北-信工楼-C109-1 (无线/前湖北/信工楼) 下线,10.202.60.196,NCUWLAN,5G,,-79 dBm,,【syslog】<181>Nov 07 2025 17:58:53.60.2+08:00 NCU_HW_AC1 %%01CM/5/USER_OFFLINERESULT(s)[16846573]:[WLAN_STA_INFO_OFFLINE]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;APMAC:b4-14-e6-aa-70-80;APNAME:XGL-C109-1;SSID:NCUWLAN;RADIOID:1;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;IPADDRESS:10.202.60.196;IPV6ADDRESS:FE80::AC67:A3FF:FE77:DBBE;TIME:1762509533;ZONE:UTC+0800;DAYLIGHT:false;SESSIONTIME:6728;ERRCODE:218;RESULT:STA timed out;USERGROUP:NULL;AUTHENPLACE:None;EXTENDINFO:The signal strength of the STA is -79 dbm.;CIB ID:339404;INTERFACE:Wlan-Dbss22777;ACCESS TYPE:None;RDSIP:-;Portal TYPE:-;AUTHID=2141780696;AUTHPROTOCOL:-;
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:53:36 CST 2025,上线 (关联成功),终端在AP 前湖北-信工楼-C109-1 (无线/前湖北/信工楼) 关联成功,,NCUWLAN,5G,,,,【syslog】<182>Nov 07 2025 17:53:36.840.7+08:00 NCU_HW_AC1 %%01WSTA/6/WLAN_LOG_USER(l)[16845498]:[WLAN_STA_INFO_AP_ASSOCIATE]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;APMAC:b4-14-e6-aa-70-80;APNAME:XGL-C109-1;APIP:10.133.1.100;RADIO:1;BAND:5G;SSID:NCUWLAN;ACCESS TYPE:Open;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;ASSOCDURATION:25717us;TIME:1762509216;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:0;RESULT:Success;
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:52:36 CST 2025,上线 (关联成功),终端在AP 前湖北-信工楼-C210-1 (无线/前湖北/信工楼) 关联成功,,NCUWLAN,5G,,,,【syslog】<182>Nov 07 2025 17:52:36.840.1+08:00 NCU_HW_AC1 %%01WSTA/6/WLAN_LOG_USER(l)[16845124]:[WLAN_STA_INFO_AP_ASSOCIATE]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;APMAC:b4-14-e6-a8-e7-70;APNAME:XGL-C210-1;APIP:10.133.1.101;RADIO:1;BAND:5G;SSID:NCUWLAN;ACCESS TYPE:Open;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;ASSOCDURATION:10067us;TIME:1762509156;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:0;RESULT:Success;
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:52:36 CST 2025,漫游,终端从AP 前湖北-机电楼-E114-G1 ( 无线/前湖北/机电楼) 漫游到AP 前湖北-信工楼-C210-1 (无线/前湖北/信工楼),,NCUWLAN,5G,,-77 dBm,,【syslog】<181>Nov 07 2025 17:52:36.840.2+08:00 NCU_HW_AC1 %%01WSTA/5/IWAP_LOG_CLIENT_INFO_ROAM_OR_OFFLINE_INFO(l)[16845125]:[IWAP_CLIENT_INFO_ROAM_INFO]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;CurrentAPMAC:b4-14-e6-a8-e7-70;CurrentAPNAME:XGL-C210-1;CurrentRSSI(dBm):-77;APMAC:1c-e6-39-8d-2d-50;APNAME:QHB-JDL-E114-G1;RADIO:1;BAND:5G;SSID:NCUWLAN;ACCESS TYPE:Open;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;TIME:1762509156;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:0;RESULT:Success;OnlineTime(s):22;UpPacketNum:0;UpByte:0;DownPacketNum:25;DownByte:0;RSSI(dBm):-72;
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:51:27 CST 2025,上线 (关联成功),终端在AP 前湖北-机电楼-E124-G1 (无线/前湖北/机电楼) 关联成功,,NCUWLAN,5G,,,,【syslog】<182>Nov 07 2025 17:51:27.60.19+08:00 NCU_HW_AC1 %%01WSTA/6/WLAN_LOG_USER(l)[16844632]:[WLAN_STA_INFO_AP_ASSOCIATE]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;APMAC:1c-e6-39-8c-f8-a0;APNAME:QHB-JDL-E124-G1;APIP:10.151.129.115;RADIO:1;BAND:5G;SSID:NCUWLAN;ACCESS TYPE:Open;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;ASSOCDURATION:6121us;TIME:1762509087;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:0;RESULT:Success;
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:51:27 CST 2025,漫游,终端从AP 前湖北-机电楼-E117-1 ( 无线/前湖北/机电楼) 漫游到AP 前湖北-机电楼-E124-G1 (无线/前湖北/机电楼),,NCUWLAN,5G,,-56 dBm,,【syslog】<181>Nov 07 2025 17:51:27.60.20+08:00 NCU_HW_AC1 %%01WSTA/5/IWAP_LOG_CLIENT_INFO_ROAM_OR_OFFLINE_INFO(l)[16844633]:[IWAP_CLIENT_INFO_ROAM_INFO]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;CurrentAPMAC:1c-e6-39-8c-f8-a0;CurrentAPNAME:QHB-JDL-E124-G1;CurrentRSSI(dBm):-56;APMAC:dc-a7-82-0c-58-30;APNAME:QHB-JDL-E117-1;RADIO:0;BAND:5G;SSID:NCUWLAN;ACCESS TYPE:Open;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;TIME:1762509087;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:0;RESULT:Success;OnlineTime(s):11;UpPacketNum:0;UpByte:0;DownPacketNum:0;DownByte:0;RSSI(dBm):-94;
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:51:13 CST 2025,上线 (关联成功),终端在AP 前湖北-机电楼-E225-1 (无线/前湖北/机电楼) 关联成功,,NCUWLAN,2.4G,,,,【syslog】<182>Nov 07 2025 17:51:13.60.6+08:00 NCU_HW_AC1 %%01WSTA/6/WLAN_LOG_USER(l)[16844504]:[WLAN_STA_INFO_AP_ASSOCIATE]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;APMAC:dc-a7-82-1f-90-d0;APNAME:QHB-JDL-E225-1;APIP:10.151.130.75;RADIO:0;BAND:2.4G;SSID:NCUWLAN;ACCESS TYPE:Open;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;ASSOCDURATION:53830us;TIME:1762509073;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:0;RESULT:Success;
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:50:57 CST 2025,上线 (关联成功),终端在AP 前湖北-机电楼-E119A-4口光 (无线/前湖北/机电楼) 关联成功,,NCUWLAN,5G,,,,【syslog】<182>Nov 07 2025 17:50:57.60.4+08:00 NCU_HW_AC1 %%01WSTA/6/WLAN_LOG_USER(l)[16844360]:[WLAN_STA_INFO_AP_ASSOCIATE]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;APMAC:50-9a-88-17-d0-c0;APNAME:QHB-JDL-E119A-4口光;APIP:10.151.130.74;RADIO:1;BAND:5G;SSID:NCUWLAN;ACCESS TYPE:Open;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;ASSOCDURATION:47785us;TIME:1762509057;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:0;RESULT:Success;
AE-67-A3-77-DB-BE,无线,Fri Nov 07 17:50:43 CST 2025,漫游,终端从AP 前湖北-机电楼-E113-1 ( 无线/前湖北/机电楼) 漫游到AP 前湖北-机电楼-E118-1 (无线/前湖北/机电楼),,NCUWLAN,5G,,-59 dBm,,【syslog】<181>Nov 07 2025 17:50:43.60.5+08:00 NCU_HW_AC1 %%01WSTA/5/IWAP_LOG_CLIENT_INFO_ROAM_OR_OFFLINE_INFO(l)[16844228]:[IWAP_CLIENT_INFO_ROAM_INFO]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;CurrentAPMAC:dc-a7-82-0b-c7-90;CurrentAPNAME:QHB-JDL-E118-1;CurrentRSSI(dBm):-59;APMAC:dc-a7-82-0b-e9-30;APNAME:QHB-JDL-E113-1;RADIO:0;BAND:5G;SSID:NCUWLAN;ACCESS TYPE:Open;USER:ae67a377dbbe;MAC:ae-67-a3-77-db-be;TIME:1762509043;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:0;RESULT:Success;OnlineTime(s):30;UpPacketNum:0;UpByte:0;DownPacketNum:0;DownByte:0;RSSI(dBm):-80;
